Match id,Batting Position ,Venue City,Ground,Opposite Team,Pitch,Weather,Last five fours ,Last five sixes, Matches score,Last five Match Average ,Score in last five matches
Odi four thousand one hundred two,third,Hyderabad ,Rajiv Gandhi International Stadium ,Australia ,Flat Track Pitch,Pre-Monsoon,ten,zero,fourty four,two hundred sixty nine point nine,two hundred eighty four
Odi Four thousand one hundred six,third ,Nagpur,VCA Stadium ,Australia ,Flat Track Pitch,Pre-Monsoon,seven,zero,one hundred  sixteen,one hundred eighty four point four,two hundred fifty
Odi four thousand one hundred nine,third ,Ranchi,JSCA International Stadium Complex,Australia ,Balanced Pitch,Pre-Monsoon,one,zero,one hundred twenty three,one hundred forty two point two,two hundred four
Odi four thousand one hundred thirteen,third,Delhi,Arun Jaitley Stadium ,Australia ,Flat Track Pitch,Pre-Monsoon,three,two,twenty ,two hundred ten point four,two hundred sixty four
Odi four thousand one hundred eleven,fourth,Mohali,Inderjit Singh Bindra Stadium,Australia ,Flat Track Pitch,Pre-Monsoon,two,zero,seven,two hundred fifty eight point four,three hundred sixteen
Odi four thousand two hundred twenty one,third ,Chennai,MA Chidambaram Stadium,West indies ,Balanced Pitch,Winter,one,zero,four,three hundred eleven point two,three hundred sixty four
Odi four thousand two hundred twenty two,third,Visakhapatnam ,Dr. Y.S.Rajashekar Reddy International Cricket Stadium ,Westi indies,Flat Track Pitch,Winter,fourteen,one,zero,two hundred eighty seven point two,three hundred eight
Odi Four Thousand Two Hundred Twenty Three,third ,Cuttack,Barabati Stadium,Westi indies,Flat Track Pitch,Winter ,four,zero,eighthy five,two hundred thirty seven point eight,two hundred sixty five
Odi four thousand two hundred thirty one,fourth,Wankhede,Barrister Sheshrao Wankhede Stadium,Australia ,Flat Track Pitch,Winter,six,four,sixteen,one hundred ninety eight point two,one hundred ninety nine
Odi four thousand two hundred thirty two,third,Rajkot ,Saurashtra Cricket Association Stadium,Australia ,Flat Track Pitch,Winter ,zero,two,seventy eight,one hundred fifty-one,two hundred forty seven
Odi four thousand two hundred thirty three,third,Bengaluru,Karnataka State Cricket Association Stadium,Australia ,Flat Track Pitch,Winter ,zero,zero,eighty nine,two hundred three point six,two hundred ninety eight
Odi four thousand two hundred thirty five,third,Hamilton ,Seddon Park,New Zealand ,Balance Pitch,Summer,ten,zero,fifty one,two hundred sixty nine point eight,two hundred seventy three
Odi four thousand two hundred thirty nine,third ,Auckland ,Edden Park,New Zealand ,Balance Pitch,Summer,three,one,fifteen,two hundred thirty nine,two hundred thirty nine
Odi four thousand two hundred forty three,third ,Mount Maunganui,Bay Oval,New Zealand ,Balance Pitch,Summer,five,one,nine,two hundred six point two,three hundred twenty three
Odi four thousand two hundred sixty five,third ,Sydney ,Moore Park,Australia ,Balance Pitch,Summer,three,one,twenty one,one hundred eight point four,two hundred nineteen
Odi four thousand two hundred sixty six,third ,Sydney ,Moore Park,Australia ,Balance Pitch,Summer,one,zero,eighty nine,one hundred nineteen point eight,two hundred ninety three
Odi four thousand two hundred sixty seven,third,Canberra,Manuka Oval,Australia ,Balance Pitch,Summer,eight,three,sixty three,one hundred twenty eight,two hundred sixty eight
Odi four thousand two hundred eighty one,third ,Pune,Maharashtra Cricket Association Stadium,England ,Flat Track Pitch,Pre-Monsoon,five,zero,fifty six,sixty nine point six,three hundred nineteen
Odi four thousand two hundred eighty three,third ,Pune,Maharashtra Cricket Association Stadium,England ,Flat Track Pitch,Pre-Monsoon,seven,zero,sixty six,one hundred sixty six point six,two hundred thirty four
Odi four thousand two hundred eighty four,third,Pune,Maharashtra Cricket Association Stadium,England ,Flat Track Pitch,Pre-Monsoon,seven,one,seven,two hundred forty point eight,two hundred eighty three
Odi four thousand three hundred forty four,third,Paarl,Boland Park,South Africa ,Bouncy Pitch,Rainfall ,six,zero,fifty one,two hundred sixty eight point two,two hundred thirteen
Odi four thousand three hundred forty six,third ,Paarl,Boland Park,South Africa ,Bouncy Pitch,Rainfall ,zero,two,zero,three hundred ninety seven point eight,one hundred forty two
Odi four thousand three hundred forty nine,third ,Capetown,Newlands - Cricket Ground,South Africa ,Bouncy Pitch,Rainfall ,five,zero,sixty five,two hundred ninety three point two,ninety one
Odi four thousand three hundred fifty three,third ,Ahemdabad,Narendra Modi Stadium,West indies ,Flat Track Pitch,Monsoon,nine,zero,eight,one hundred ninety six point two,one hundred seven
Odi four thousand three hundred fifty five,third ,Ahemdabad,Narendra Modi Stadium ,West indies ,Flat Track Pitch,Monsoon,four,zero,eightten,two hundred twenty-one point eight,fifty nine
Odi four thousand three hundred fifty six,third,Ahemdabad,Narendra Modi Stadium,West indies ,Flat Track Pitch,Monsoon,six,two,zero,sixty five point eight,sixty
Odi four thousand four hundred twenty eight,third ,Lord's ,Lord's Cricket Ground,England ,Grass Pitch,Summer,twelve,one ,sixteen,ninety two point eight,forty seven
Odi four thousand four hundred thirty three,third,Manchester ,Old Trafford Cricket Ground,England ,Grass Pitch,Summer,zero,one ,seventeen,one hundred twenty five point eight,one hundred sixty
Odi four thousand four hundred ninety three,third ,Mirpur,Sher-e-Bangla National Cricket Stadium,Bangladesh ,Spin Track,Winter ,five,one,nine,ninety three point six,two hundred fifty seven
